1,https://www.php.net/manual/en/function.strtr.php
2,https://www.php.net/manual/en/function.crypt.php
3,https://www.php.net/manual/en/function.lcfirst.php
4,https://www.php.net/manual/en/function.lcfirst.php
5,https://www.php.net/manual/en/function.printf.php
6,https://www.php.net/manual/en/function.nl-langinfo.php
7,https://www.php.net/manual/en/function.fprintf.php
8,https://www.php.net/manual/en/function.chunk-split.php
9,https://www.php.net/manual/en/function.chop.php
10,https://www.php.net/manual/ru/function.htmlspecialchars.php
